Crop,Dis,Crop+Dis,long,lati,next_Dis
野菜等,0,野菜等,138.7949691,36.29848334,1
コンニャク,0,コンニャク0,138.7938902,36.29779265,1
農地以外,0,農地以外,138.7988661,36.29816537,0
不耕作,0,不耕作,138.8087906,36.29396752,3
緑肥,0,緑肥,138.8104,36.29371006,2
コンニャク,3,コンニャク3,138.80835,36.29368258,3
コンニャク,2,コンニャク2,138.8101491,36.29145221,3
不耕作,0,不耕作,138.8112258,36.29310356,0
耕作放棄,0,耕作放棄,138.8113394,36.29289862,0
農地以外,0,農地以外,138.8113666,36.29212772,0
コンニャク,3,コンニャク3,138.812041,36.29473938,0
野菜等,0,野菜等,138.812791,36.2945203,0
野菜等,0,野菜等,138.8134267,36.29435373,0
緑肥,0,緑肥,138.8137161,36.29417394,0
コンニャク,3,コンニャク3,138.8142618,36.29408341,0
不耕作,0,不耕作,138.7944778,36.29715755,0
野菜等,0,野菜等,138.7945016,36.29687523,0
不耕作,0,不耕作,138.7947013,36.29708206,0
野菜等,0,野菜等,138.7960496,36.29888231,0
不耕作,0,不耕作,138.7956907,36.29804735,1
緑肥,0,緑肥,138.7950885,36.29741713,3
緑肥,0,緑肥,138.7950507,36.29724988,3
緑肥,0,緑肥,138.7949224,36.29711777,0
野菜等,0,野菜等,138.7953285,36.29727616,0
野菜等,0,野菜等,138.7943995,36.29669764,0
農地以外,0,農地以外,138.7970642,36.29929707,0
コンニャク,0,コンニャク0,138.7992761,36.29893099,1
農地以外,0,農地以外,138.800003,36.29860827,0
コンニャク,0,コンニャク0,138.800412,36.29836055,1
農地以外,0,農地以外,138.8016852,36.29839274,0
農地以外,0,農地以外,138.8014998,36.29849392,0
農地以外,0,農地以外,138.8020337,36.29840469,0
農地以外,0,農地以外,138.8009685,36.29835098,0
緑肥,0,緑肥,138.8030946,36.29737615,1
コンニャク,1,コンニャク1,138.7985621,36.29829895,1
野菜等,0,野菜等,138.8140254,36.29426932,0
コンニャク,1,コンニャク1,138.8143307,36.29452607,2
コンニャク,0,コンニャク0,138.8127585,36.29403839,1
農地以外,0,農地以外,138.7988798,36.29827804,0
農地以外,0,農地以外,138.8000364,36.29803923,0
農地以外,0,農地以外,138.7999606,36.29815283,0
コンニャク,0,コンニャク0,138.801232,36.2968098,1
耕作放棄,0,耕作放棄,138.7972026,36.29778657,0
コンニャク,1,コンニャク1,138.7985622,36.29722875,2
野菜等,0,野菜等,138.798241,36.29618088,0
コンニャク,1,コンニャク1,138.8040524,36.29605334,0
緑肥,0,緑肥,138.8077592,36.29477153,2
野菜等,0,野菜等,138.8090827,36.29583289,0
不耕作,0,不耕作,138.8093211,36.29566865,0
野菜等,0,野菜等,138.809526,36.295495,0
野菜等,0,野菜等,138.808583,36.29559997,0
野菜等,0,野菜等,138.8096781,36.29506411,0
コンニャク,0,コンニャク0,138.8131116,36.29386231,1
コンニャク,2,コンニャク2,138.8174022,36.29428577,1
コンニャク,1,コンニャク1,138.8149391,36.2941735,3
野菜等,0,野菜等,138.8152992,36.29324618,0
耕作放棄,0,耕作放棄,138.8154094,36.29268359,0
野菜等,0,野菜等,138.815605,36.29310128,0
コンニャク,2,コンニャク2,138.814423,36.29257556,2
野菜等,0,野菜等,138.8160222,36.29205712,0
野菜等,0,野菜等,138.8166273,36.29070507,0
野菜等,0,野菜等,138.8182991,36.29335299,0
野菜等,0,野菜等,138.8197922,36.29266055,0
野菜等,0,野菜等,138.8202105,36.29275891,0
野菜等,0,野菜等,138.8188993,36.29104721,0
コンニャク,1,コンニャク1,138.8198775,36.29046575,0
コンニャク,0,コンニャク0,138.8202435,36.2905491,2
緑肥,0,緑肥,138.816902,36.29003904,0
野菜等,0,野菜等,138.81703,36.2905277,0
コンニャク,2,コンニャク2,138.8179406,36.28971943,0
耕作放棄,0,耕作放棄,138.8214499,36.28949246,0
野菜等,0,野菜等,138.8192138,36.28913368,0
農地以外,0,農地以外,138.8108534,36.29261026,0
コンニャク,1,コンニャク1,138.8028051,36.29752958,1
コンニャク,0,コンニャク0,138.8023065,36.29773842,1
コンニャク,0,コンニャク0,138.8026002,36.2981265,0
コンニャク,1,コンニャク1,138.7994928,36.29831168,2
コンニャク,1,コンニャク1,138.8054901,36.2950133,0
緑肥,0,緑肥,138.8086659,36.29517988,0
野菜等,0,野菜等,138.8098974,36.29457569,0
野菜等,0,野菜等,138.8147519,36.29341858,0
野菜等,0,野菜等,138.8159366,36.29187071,0
不耕作,0,不耕作,138.8157134,36.29106888,0
不耕作,0,不耕作,138.815674,36.29077196,0
野菜等,0,野菜等,138.8162561,36.29082216,0
野菜等,0,野菜等,138.818286,36.29279595,0
野菜等,0,野菜等,138.8184961,36.29322586,0
野菜等,0,野菜等,138.82058,36.29024634,0
コンニャク,1,コンニャク1,138.8173034,36.29345846,2
野菜等,0,野菜等,138.8109159,36.29222673,0
野菜等,0,野菜等,138.7998083,36.29756831,0
耕作放棄,0,耕作放棄,138.7977979,36.298725,0
野菜等,0,野菜等,138.798693,36.29619347,0
コンニャク,2,コンニャク2,138.8089583,36.29472386,3
コンニャク,1,コンニャク1,138.817162,36.29264625,2
コンニャク,1,コンニャク1,138.8169625,36.29223212,3
野菜等,0,野菜等,138.816428,36.29034058,0
野菜等,0,野菜等,138.8164532,36.29076255,0
不耕作,0,不耕作,138.8161057,36.29092072,0
不耕作,0,不耕作,138.8159906,36.29068073,0
コンニャク,1,コンニャク1,138.8153327,36.29392846,3
コンニャク,1,コンニャク1,138.8155414,36.29435475,3
緑肥,0,緑肥,138.8235952,36.29006261,0
コンニャク,2,コンニャク2,138.822589,36.29084357,1
耕作放棄,0,耕作放棄,138.8396541,36.28196409,0
コンニャク,2,コンニャク2,138.8364002,36.28222754,2
耕作放棄,0,耕作放棄,138.836365,36.28176158,2
不耕作,0,不耕作,138.8396629,36.28416923,1
不耕作,0,不耕作,138.8391678,36.27888028,0
緑肥,0,緑肥,138.8400041,36.277974,0
不耕作,0,不耕作,138.8391271,36.28515837,1
コンニャク,1,コンニャク1,138.8385574,36.28592198,2
野菜等,0,野菜等,138.8409285,36.2836444,0
コンニャク,1,コンニャク1,138.841931,36.28519159,0
コンニャク,1,コンニャク1,138.8402949,36.28386426,2
耕作放棄,0,耕作放棄,138.8366492,36.28395781,0
野菜等,0,野菜等,138.8425759,36.2841249,1
コンニャク,3,コンニャク3,138.842874,36.28380991,0
コンニャク,1,コンニャク1,138.8416417,36.28509842,1
コンニャク,2,コンニャク2,138.8414412,36.28358625,0
コンニャク,1,コンニャク1,138.8414948,36.28423469,1
コンニャク,2,コンニャク2,138.8418075,36.28398226,1
不耕作,0,不耕作,138.8402446,36.28589864,0
コンニャク,1,コンニャク1,138.8402874,36.28626187,1
コンニャク,1,コンニャク1,138.8406765,36.28609355,0
不耕作,0,不耕作,138.8401506,36.28566354,0
不耕作,0,不耕作,138.8391053,36.28424519,0
緑肥,0,緑肥,138.8407948,36.28470638,0
コンニャク,3,コンニャク3,138.8378764,36.28280622,0
コンニャク,3,コンニャク3,138.8386087,36.28276863,0
緑肥,0,緑肥,138.8357063,36.28171592,0
野菜等,0,野菜等,138.8394866,36.28266156,0
コンニャク,1,コンニャク1,138.8370339,36.28385012,1
不耕作,0,不耕作,138.8437857,36.28308481,0
不耕作,0,不耕作,138.8374273,36.28386421,0
農地以外,0,農地以外,138.8373709,36.28337664,0
耕作放棄,0,耕作放棄,138.8374378,36.27836605,0
野菜等,0,野菜等,138.8377641,36.28357719,0
野菜等,0,野菜等,138.8371284,36.28289167,0
野菜等,0,野菜等,138.8361674,36.27992922,1
野菜等,0,野菜等,138.8411934,36.28395497,1
コンニャク,1,コンニャク1,138.8362359,36.28285963,3
コンニャク,1,コンニャク1,138.8370397,36.28201347,0
耕作放棄,0,耕作放棄,138.8359611,36.2822132,0
不耕作,0,不耕作,138.838325,36.28337876,0
耕作放棄,0,耕作放棄,138.8361332,36.28227627,2
野菜等,0,野菜等,138.8387188,36.28316006,0
不耕作,0,不耕作,138.8380245,36.28347993,0
野菜等,0,野菜等,138.8385311,36.28314864,0
コンニャク,2,コンニャク2,138.8372684,36.28093916,1
コンニャク,1,コンニャク1,138.8382017,36.28092927,1
耕作放棄,0,耕作放棄,138.8367314,36.28175496,2
コンニャク,2,コンニャク2,138.8373119,36.2820179,1
不耕作,0,不耕作,138.8376778,36.2822565,1
コンニャク,1,コンニャク1,138.838339,36.28198946,1
コンニャク,3,コンニャク3,138.8361038,36.28098208,0
不耕作,0,不耕作,138.8392224,36.28548711,2
コンニャク,2,コンニャク2,138.8370038,36.28096095,0
コンニャク,1,コンニャク1,138.8393124,36.28607897,1
緑肥,0,緑肥,138.8360822,36.27928683,2
野菜等,0,野菜等,138.8371047,36.27899796,0
緑肥,0,緑肥,138.837315,36.27897281,0
コンニャク,3,コンニャク3,138.8383637,36.28091431,1
コンニャク,3,コンニャク3,138.8385261,36.28093462,1
野菜等,0,野菜等,138.8388616,36.28090581,1
コンニャク,0,コンニャク0,138.8393946,36.28087656,1
コンニャク,1,コンニャク1,138.8390349,36.28196166,1
緑肥,0,緑肥,138.8396238,36.28163651,1
緑肥,0,緑肥,138.8353302,36.28089755,0
野菜等,0,野菜等,138.8387061,36.28691928,0
緑肥,0,緑肥,138.8357179,36.28097394,0
コンニャク,1,コンニャク1,138.8392787,36.28650474,1
コンニャク,1,コンニャク1,138.8396951,36.28006373,1
野菜等,0,野菜等,138.8398566,36.27953206,0
不耕作,0,不耕作,138.839113,36.28090617,1
不耕作,0,不耕作,138.8405433,36.28258955,0
コンニャク,1,コンニャク1,138.8357691,36.28721053,0
野菜等,0,野菜等,138.8365359,36.28629909,0
不耕作,0,不耕作,138.8319014,36.2858219,0
野菜等,0,野菜等,138.8349565,36.2856354,0
野菜等,0,野菜等,138.830465,36.28660506,1
耕作放棄,0,耕作放棄,138.8385515,36.27905695,0
野菜等,0,野菜等,138.8372358,36.28347199,0
コンニャク,2,コンニャク2,138.8364462,36.28326346,3
不耕作,0,不耕作,138.8374685,36.28283428,0
緑肥,0,緑肥,138.8396901,36.28086732,1
不耕作,0,不耕作,138.8379945,36.28224075,1
耕作放棄,0,耕作放棄,138.8379932,36.27990633,0
不耕作,0,不耕作,138.8386549,36.28091913,1
緑肥,0,緑肥,138.8376541,36.281747,1
コンニャク,1,コンニャク1,138.8399074,36.27898271,1
緑肥,0,緑肥,138.8379691,36.28174262,1
コンニャク,1,コンニャク1,138.8398816,36.27842258,1
緑肥,0,緑肥,138.8403523,36.27799196,0
コンニャク,1,コンニャク1,138.8426427,36.28149665,1
コンニャク,1,コンニャク1,138.8394465,36.2869172,1
不耕作,0,不耕作,138.8399944,36.28609466,0
野菜等,0,野菜等,138.8387589,36.28647951,1
野菜等,0,野菜等,138.8359765,36.28168866,0
コンニャク,2,コンニャク2,138.8367558,36.28221228,2
耕作放棄,0,耕作放棄,138.8389149,36.27896153,0
緑肥,0,緑肥,138.8333652,36.28741687,1
不耕作,0,不耕作,138.8306923,36.28714146,0
不耕作,0,不耕作,138.8312359,36.28627157,0
コンニャク,2,コンニャク2,138.8316279,36.28619187,1
耕作放棄,0,耕作放棄,138.8353853,36.28943443,0
コンニャク,1,コンニャク1,138.8349051,36.28908099,1
コンニャク,2,コンニャク2,138.8302853,36.28458706,2
緑肥,0,緑肥,138.831094,36.28501662,0
野菜等,0,野菜等,138.8357313,36.2893866,0
コンニャク,1,コンニャク1,138.8367474,36.28900942,3
コンニャク,2,コンニャク2,138.829225,36.2850807,0
コンニャク,1,コンニャク1,138.832908,36.28925844,1
コンニャク,1,コンニャク1,138.8331566,36.28908362,1
不耕作,0,不耕作,138.83349,36.28905583,0
コンニャク,2,コンニャク2,138.8288374,36.28519706,0
コンニャク,1,コンニャク1,138.8341046,36.28904801,1
不耕作,0,不耕作,138.8336362,36.28670441,0
野菜等,0,野菜等,138.8340291,36.28665065,0
緑肥,0,緑肥,138.8306061,36.285424,0
コンニャク,3,コンニャク3,138.8292647,36.28580096,3
緑肥,0,緑肥,138.8323712,36.28508092,0
耕作放棄,0,耕作放棄,138.8299783,36.28561708,0
緑肥,0,緑肥,138.833171,36.28500611,0
コンニャク,0,コンニャク0,138.832046,36.28512297,2
不耕作,0,不耕作,138.8339989,36.28845428,0
不耕作,0,不耕作,138.8320658,36.28880382,0
不耕作,0,不耕作,138.8334499,36.28852064,0
不耕作,0,不耕作,138.8316757,36.28697713,0
不耕作,0,不耕作,138.8323264,36.28688413,0
不耕作,0,不耕作,138.8327835,36.28681542,0
野菜等,0,野菜等,138.8331813,36.28676608,0
耕作放棄,0,耕作放棄,138.8296749,36.28571895,0
コンニャク,0,コンニャク0,138.8318075,36.28513988,0
コンニャク,3,コンニャク3,138.8359239,36.28614027,0
コンニャク,0,コンニャク0,138.8316793,36.28517523,0
野菜等,0,野菜等,138.8364879,36.28532954,0
不耕作,0,不耕作,138.8302645,36.28732818,0
野菜等,0,野菜等,138.8303506,36.28727612,0
野菜等,0,野菜等,138.8310463,36.28706218,0
野菜等,0,野菜等,138.8312849,36.28703545,0
緑肥,0,緑肥,138.8348713,36.28346689,0
コンニャク,2,コンニャク2,138.8320794,36.28825681,1
コンニャク,1,コンニャク1,138.8333722,36.28807988,2
緑肥,0,緑肥,138.8314134,36.28522593,0
野菜等,0,野菜等,138.8336118,36.2835855,0
耕作放棄,0,耕作放棄,138.834584,36.2835572,0
コンニャク,1,コンニャク1,138.8332458,36.28207816,1
耕作放棄,0,耕作放棄,138.8334222,36.28195844,0
耕作放棄,0,耕作放棄,138.8335547,36.28187627,3
コンニャク,3,コンニャク3,138.8337491,36.2817511,3
野菜等,0,野菜等,138.8323289,36.28272808,0
野菜等,0,野菜等,138.8323115,36.28258974,2
コンニャク,3,コンニャク3,138.8323075,36.28243194,2
コンニャク,1,コンニャク1,138.8323057,36.28208519,1
緑肥,0,緑肥,138.8333363,36.28081807,0
野菜等,0,野菜等,138.8335493,36.28075637,0
コンニャク,3,コンニャク3,138.8339606,36.2806106,0
コンニャク,1,コンニャク1,138.8327124,36.28268725,1
コンニャク,2,コンニャク2,138.835268,36.2843803,1
コンニャク,2,コンニャク2,138.8348873,36.28449565,1
野菜等,0,野菜等,138.8318427,36.28761107,0
緑肥,0,緑肥,138.8355318,36.28432841,1
コンニャク,1,コンニャク1,138.8305412,36.28645071,1
コンニャク,1,コンニャク1,138.835165,36.28228618,1
耕作放棄,0,耕作放棄,138.837508,36.28835345,0
野菜等,0,野菜等,138.8355943,36.28988365,0
コンニャク,2,コンニャク2,138.8310999,36.28826868,0
緑肥,0,緑肥,138.8339534,36.28800977,2
野菜等,0,野菜等,138.8351261,36.28949148,2
不耕作,0,不耕作,138.8308778,36.28626351,1
耕作放棄,0,耕作放棄,138.8332305,36.28092538,0
野菜等,0,野菜等,138.8352036,36.28835879,0
緑肥,0,緑肥,138.8357483,36.28423901,1
コンニャク,2,コンニャク2,138.8361776,36.28409523,0
コンニャク,3,コンニャク3,138.8337274,36.28125838,0
コンニャク,3,コンニャク3,138.8343874,36.2813666,0
耕作放棄,0,耕作放棄,138.8325793,36.28162144,0
耕作放棄,0,耕作放棄,138.8330015,36.28129646,0
野菜等,0,野菜等,138.8332889,36.28120283,0
耕作放棄,0,耕作放棄,138.8330873,36.28100942,0
不耕作,0,不耕作,138.8366341,36.28615122,0
不耕作,0,不耕作,138.8370021,36.28938353,0
野菜等,0,野菜等,138.8322776,36.2833898,0
耕作放棄,0,耕作放棄,138.8372126,36.28840897,0
コンニャク,2,コンニャク2,138.8361404,36.28764898,0
コンニャク,3,コンニャク3,138.8329552,36.2831387,0
コンニャク,2,コンニャク2,138.8332891,36.28300463,0
不耕作,0,不耕作,138.8336422,36.28286731,0
不耕作,0,不耕作,138.8370081,36.2857204,0
コンニャク,1,コンニャク1,138.8362318,36.28664389,0
コンニャク,2,コンニャク2,138.833032,36.28599078,0
不耕作,0,不耕作,138.8367809,36.28593598,2
野菜等,0,野菜等,138.834639,36.28567649,0
コンニャク,1,コンニャク1,138.8324568,36.28607681,1
コンニャク,1,コンニャク1,138.8342173,36.2857867,2
コンニャク,2,コンニャク2,138.8264827,36.28870888,2
緑肥,0,緑肥,138.8274619,36.28827712,0
野菜等,0,野菜等,138.8254939,36.29001704,0
不耕作,0,不耕作,138.8270264,36.28858596,0
コンニャク,1,コンニャク1,138.8252728,36.28858345,0
不耕作,0,不耕作,138.8251394,36.28974631,0
コンニャク,1,コンニャク1,138.8259267,36.28797506,1
コンニャク,1,コンニャク1,138.8250348,36.28880006,0
野菜等,0,野菜等,138.826816,36.28767379,0
不耕作,0,不耕作,138.8226975,36.28795832,0
コンニャク,1,コンニャク1,138.825592,36.28831488,2
コンニャク,1,コンニャク1,138.8273429,36.28911298,1
緑肥,0,緑肥,138.8277262,36.28814934,0
野菜等,0,野菜等,138.830926,36.28961996,0
コンニャク,2,コンニャク2,138.8260765,36.28682726,3
コンニャク,1,コンニャク1,138.8284394,36.28533238,1
野菜等,0,野菜等,138.8266379,36.28569917,0
コンニャク,3,コンニャク3,138.822148,36.28843347,0
野菜等,0,野菜等,138.82934,36.28991977,0
野菜等,0,野菜等,138.8218356,36.28783149,0
コンニャク,3,コンニャク3,138.8266007,36.28951218,0
不耕作,0,不耕作,138.8249035,36.28993149,0
コンニャク,1,コンニャク1,138.8247134,36.28907327,2
コンニャク,1,コンニャク1,138.8282997,36.28946127,2
コンニャク,1,コンニャク1,138.8243846,36.28933736,0
野菜等,0,野菜等,138.8295959,36.2876539,0
不耕作,0,不耕作,138.8280288,36.28765084,0
不耕作,0,不耕作,138.8288032,36.28710668,0
不耕作,0,不耕作,138.8259804,36.28766043,1
不耕作,0,不耕作,138.8277614,36.28708147,0
野菜等,0,野菜等,138.8259886,36.28752279,0
野菜等,0,野菜等,138.8253187,36.28959251,0
緑肥,0,緑肥,138.8265242,36.28776266,0
野菜等,0,野菜等,138.8280328,36.28858657,0
不耕作,0,不耕作,138.8259398,36.28980461,0
不耕作,0,不耕作,138.8272336,36.287534,0
野菜等,0,野菜等,138.829311,36.28780244,0
コンニャク,3,コンニャク3,138.8284088,36.28831547,1
コンニャク,1,コンニャク1,138.8240603,36.28703112,1
野菜等,0,野菜等,138.8306291,36.29013197,0
コンニャク,1,コンニャク1,138.8230751,36.28777584,1
野菜等,0,野菜等,138.8313898,36.28996027,0
コンニャク,1,コンニャク1,138.8255706,36.28659279,0
不耕作,0,不耕作,138.8242138,36.28808262,0
コンニャク,1,コンニャク1,138.8216179,36.28881065,1
不耕作,0,不耕作,138.8231163,36.28898963,1
緑肥,0,緑肥,138.8314376,36.28927742,1
緑肥,0,緑肥,138.8271555,36.28650127,2
コンニャク,1,コンニャク1,138.826649,36.28664879,1
不耕作,0,不耕作,138.8227249,36.28923202,1
野菜等,0,野菜等,138.8275111,36.28987493,0
野菜等,0,野菜等,138.8300326,36.28743213,0
コンニャク,2,コンニャク2,138.8207678,36.28850464,0
不耕作,0,不耕作,138.8265294,36.29022631,0
耕作放棄,0,耕作放棄,138.8202996,36.28820924,0
不耕作,0,不耕作,138.8281703,36.28618411,1
コンニャク,2,コンニャク2,138.8289658,36.28615339,0
野菜等,0,野菜等,138.8275476,36.28602917,0
野菜等,0,野菜等,138.828437,36.28608502,2
不耕作,0,不耕作,138.829615,36.29054819,0
野菜等,0,野菜等,138.8299565,36.29059026,0
野菜等,0,野菜等,138.8214569,36.28803902,0
不耕作,0,不耕作,138.8245035,36.28925983,0
不耕作,0,不耕作,138.8289466,36.28707474,0
緑肥,0,緑肥,138.8238796,36.28834433,1
緑肥,0,緑肥,138.8286456,36.28605044,2
コンニャク,2,コンニャク2,138.826406,36.28892,2
コンニャク,2,コンニャク2,138.8270697,36.28995511,1
不耕作,0,不耕作,138.8308872,36.28861088,0
野菜等,0,野菜等,138.8252133,36.2863161,0
緑肥,0,緑肥,138.8303398,36.2891175,0
不耕作,0,不耕作,138.8264097,36.28579089,3
コンニャク,1,コンニャク1,138.8248638,36.2865227,0
コンニャク,2,コンニャク2,138.8258995,36.28592697,3
コンニャク,2,コンニャク2,138.8286951,36.28916065,2
野菜等,0,野菜等,138.8277864,36.29014452,0
コンニャク,1,コンニャク1,138.8296649,36.28848892,2
不耕作,0,不耕作,138.8290803,36.28702252,0
野菜等,0,野菜等,138.8293975,36.28689807,0
不耕作,0,不耕作,138.8238754,36.28962845,1
緑肥,0,緑肥,138.8242227,36.28949495,1
コンニャク,1,コンニャク1,138.8273705,36.2904719,1
不耕作,0,不耕作,138.8300672,36.29014562,0
農地以外,0,農地以外,138.8399356,36.28587661,0
農地以外,0,農地以外,138.835127,36.28976612,0
農地以外,0,農地以外,138.8374425,36.27803656,0
農地以外,0,農地以外,138.8431631,36.28297606,0
農地以外,0,農地以外,138.8395172,36.28496525,0
農地以外,0,農地以外,138.835567,36.28968419,0
農地以外,0,農地以外,138.8392788,36.28302034,0
農地以外,0,農地以外,138.8373608,36.28926105,0
コンニャク,2,コンニャク2,138.8210188,36.28829696,2
コンニャク,1,コンニャク1,138.8255824,36.28691297,1
不耕作,0,不耕作,138.8265343,36.28571534,0
コンニャク,1,コンニャク1,138.8277426,36.28645795,1
不耕作,0,不耕作,138.8279223,36.28624042,0
不耕作,0,不耕作,138.8268853,36.28825788,0
野菜等,0,野菜等,138.8311114,36.29003704,0
野菜等,0,野菜等,138.8311623,36.2894625,0
農地以外,0,農地以外,138.8327947,36.28897603,0
野菜等,0,野菜等,138.8304229,36.2872404,0
